City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khatanga,RU,71.9667,102.5,16.11,84,98,11.25,overcast clouds
80,Verkhnevilyuysk,RU,63.4453,120.3167,-2.06,99,81,4.99,broken clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,40,9.22,scattered clouds
82,Kharitonovo,RU,61.4009,47.4978,35.13,83,1,8.52,clear sky
83,Tonantins,BR,-2.8731,-67.8022,77.52,84,87,2.8,overcast clouds
84,Souillac,MU,-20.5167,57.5167,77.0,94,75,4.61,broken clouds
85,Hasaki,JP,35.7333,140.8333,46.4,93,20,4.61,few clouds
86,Ilulissat,GL,69.2167,-51.1,32.0,55,75,2.3,light snow
87,Yulara,AU,-25.2406,130.9889,57.2,54,7,10.36,clear sky
88,Vorozhba,UA,51.1733,34.2192,43.93,67,100,6.93,overcast clouds
89,Drovyanaya,RU,51.5833,113.0333,15.8,41,97,8.95,overcast clouds
90,Port-Cartier,CA,50.0334,-66.8654,55.4,58,75,4.61,broken clouds
91,Pudozh,RU,61.8099,36.5345,28.51,93,80,4.16,broken clouds
92,Kurilsk,RU,45.2333,147.8833,40.87,57,45,7.67,scattered clouds
93,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
94,Balykshi,KZ,47.0667,51.8667,60.8,31,0,17.9,clear sky
95,Dunedin,NZ,-45.8742,170.5036,57.99,81,52,1.01,moderate rain
96,Saint-Francois,FR,46.4154,3.9054,41.0,93,90,11.5,overcast clouds
97,Punta Arenas,CL,-53.15,-70.9167,57.2,38,0,10.36,clear sky
98,Bengkulu,ID,-3.8004,102.2655,75.34,90,100,4.21,overcast clouds
99,Feicheng,CN,35.2606,117.9675,52.92,92,100,3.65,overcast clouds
100,Esperance,AU,-33.8667,121.9,60.8,72,40,21.85,scattered clouds
101,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,59.23,93,100,2.64,overcast clouds
102,Faya,SA,18.3851,42.4509,64.4,44,0,0.89,clear sky
103,Vaitape,PF,-16.5167,-151.75,82.36,71,100,10.67,overcast clouds
104,Pokhara,NP,28.2333,83.9833,66.54,10,0,8.57,clear sky
105,Vieux-Habitants,GP,16.0589,-61.7659,78.8,61,90,8.05,overcast clouds
106,Port Macquarie,AU,-31.4333,152.9167,54.0,72,0,8.25,clear sky
107,Katsuura,JP,35.1333,140.3,53.6,76,20,6.91,few clouds
108,Nishihara,JP,26.1842,127.7558,69.8,68,40,16.11,scattered clouds
109,Ancud,CL,-41.8697,-73.8203,59.0,100,75,14.97,broken clouds
110,Husavik,IS,66.0449,-17.3389,33.8,80,75,6.91,broken clouds
111,Saskylakh,RU,71.9167,114.0833,14.94,93,89,8.72,overcast clouds
112,Barrow,US,71.2906,-156.7887,-13.0,77,1,5.75,clear sky
113,Chumikan,RU,54.7183,135.315,18.52,67,2,14.88,clear sky
114,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,1,9.22,clear sky
115,Fukue,JP,32.6881,128.8419,62.17,72,100,15.5,light rain
116,Povenets,RU,62.8487,34.8262,30.02,92,65,5.19,broken clouds
117,Tiksi,RU,71.6872,128.8694,6.58,68,100,7.87,overcast clouds
118,Tukrah,LY,32.5341,20.5791,57.09,48,17,9.31,few clouds
119,Chardara,KZ,41.2547,67.9692,48.38,48,0,6.26,clear sky
120,Chara,RU,56.9064,118.2631,0.18,77,100,2.01,overcast clouds
121,Haines Junction,CA,60.7522,-137.5108,19.4,23,90,2.3,overcast clouds
122,Tongliao,CN,43.6125,122.2653,49.73,55,8,23.17,clear sky
123,Tarabuco,BO,-19.1667,-64.9167,52.27,70,31,6.46,scattered clouds
124,Kaitangata,NZ,-46.2817,169.8464,60.01,86,38,5.99,scattered clouds
125,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,10.36,broken clouds
126,Otjimbingwe,NA,-22.35,16.1333,73.67,34,0,6.51,clear sky
127,Sambava,MG,-14.2667,50.1667,75.76,88,100,8.86,light rain
128,Shihezi,CN,44.3,86.0333,49.86,27,0,4.99,clear sky
129,Baykit,RU,61.67,96.37,28.18,98,100,2.3,overcast clouds
130,Pacific Grove,US,36.6177,-121.9166,61.0,63,90,13.8,overcast clouds
131,Russell,US,32.3502,-85.1999,78.8,31,1,12.66,clear sky
132,Thunder Bay,CA,48.4001,-89.3168,48.2,87,90,10.36,overcast clouds
133,Georgetown,MY,5.4112,100.3354,78.8,94,40,3.44,scattered clouds
134,Isangel,VU,-19.55,169.2667,79.18,84,92,8.57,overcast clouds
135,Tiarei,PF,-17.5333,-149.3333,86.0,66,75,16.11,broken clouds
136,Sur,OM,22.5667,59.5289,81.03,64,0,9.95,clear sky
137,Coahuayana,MX,18.7333,-103.6833,82.4,51,40,6.91,scattered clouds
138,Waingapu,ID,-9.6567,120.2641,75.69,83,62,4.85,broken clouds
139,Vesoul,FR,47.5833,5.8333,39.0,93,90,8.05,overcast clouds
140,Ketchikan,US,55.3422,-131.6461,41.0,60,75,5.75,broken clouds
141,Geraldton,AU,-28.7667,114.6,73.4,88,75,19.57,broken clouds
142,Bandarbeyla,SO,9.4942,50.8122,78.69,72,9,6.78,clear sky
